crew_id,stayover_outstation_count,deadhead_count,deadhead_position_count,inconsistent_location_count,insufficient_transfer_count,flight_task_limit,duty_task_limit,flight_time_limit,rest_time_limit,duty_time_limit,cycle_rule_count,total_duty_time_limit,unqualified_crew_count,total_duty_days,total_flight_time
Crew_10107,6,0,0,0,0,0,0,0,0,0,0,0,0,5,31.78333333333333
Crew_10108,6,1,0,0,0,0,0,0,0,0,0,0,0,5,21.816666666666663
Crew_10109,5,0,0,0,0,0,0,0,0,0,0,0,0,5,24.366666666666664
Crew_10110,2,2,0,0,0,0,0,0,0,0,0,0,0,2,13.7
Crew_10113,5,0,0,0,0,0,0,0,0,0,0,0,0,5,33.86666666666666
Crew_10114,6,1,0,0,0,0,0,0,0,0,0,0,0,5,30.049999999999997
Crew_10115,6,0,0,0,0,0,0,0,0,0,0,0,0,5,32.38333333333333
Crew_10116,7,0,0,0,0,0,0,0,0,0,0,0,0,5,38.05
Crew_10117,6,0,0,0,0,0,0,0,0,0,0,0,0,5,28.599999999999994
Crew_10118,1,2,0,0,0,0,0,0,0,0,0,0,0,2,11.6
Crew_10119,2,0,0,0,0,0,0,0,0,0,0,0,0,3,17.583333333333336
Crew_10120,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13.366666666666667
Crew_10121,7,0,0,0,0,0,0,0,0,0,0,0,0,5,24.5
Crew_10122,4,1,0,0,0,0,0,0,0,0,0,0,0,3,16.416666666666664
Crew_10123,6,0,0,0,0,0,0,0,0,0,0,0,0,5,15.75
Crew_10125,2,0,0,0,0,0,0,0,0,0,0,0,0,2,15.266666666666667
Crew_10126,6,1,0,0,0,0,0,0,0,0,0,0,0,5,29.299999999999997
Crew_10128,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.116666666666667
Crew_10129,6,0,0,0,0,0,0,0,0,0,0,0,0,5,27.766666666666666
Crew_10130,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.916666666666667
Crew_10131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10132,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10133,5,0,0,0,0,0,0,0,0,0,0,0,0,5,25.550000000000004
Crew_10134,3,1,0,0,0,0,0,0,0,0,0,0,0,3,18.099999999999998
Crew_10135,4,1,0,0,0,0,0,0,0,0,0,0,0,3,15.966666666666667
Crew_10136,1,1,0,0,0,0,0,0,0,0,0,0,0,5,27.833333333333336
Crew_10137,3,0,0,0,0,0,0,0,0,0,0,0,0,3,16.816666666666666
Crew_10138,6,0,0,0,0,0,0,0,0,0,0,0,0,4,23.700000000000003
Crew_10139,7,0,0,0,0,0,0,0,0,0,0,0,0,5,28.199999999999996
Crew_10140,4,0,0,0,0,0,0,0,0,0,0,0,0,2,13.816666666666665
Crew_10141,5,1,0,0,0,0,0,0,0,0,0,0,0,5,27.449999999999996
Crew_10142,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.300000000000001
Crew_10143,4,0,0,0,0,0,0,0,0,0,0,0,0,5,28.200000000000003
Crew_10144,4,1,0,0,0,0,0,0,0,0,0,0,0,5,28.116666666666667
Crew_10145,3,2,0,0,0,0,0,0,0,0,0,0,0,3,15.850000000000001
Crew_10146,1,2,0,0,0,0,0,0,0,0,0,0,0,1,7.7666666666666675
Crew_10147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10149,6,0,0,0,0,0,0,0,0,0,0,0,0,5,31.699999999999996
Crew_10150,2,1,0,0,0,0,0,0,0,0,0,0,0,3,13.533333333333331
Crew_10151,5,1,0,0,0,0,0,0,0,0,0,0,0,3,18.683333333333334
Crew_10152,7,0,0,0,0,0,0,0,0,0,0,0,0,5,29.666666666666664
Crew_10153,4,0,0,0,0,0,0,0,0,0,0,0,0,4,20.76666666666667
Crew_10154,1,1,0,0,0,0,0,0,0,0,0,0,0,3,10.333333333333334
Crew_10156,3,0,0,0,0,0,0,0,0,0,0,0,0,5,32.53333333333334
Crew_10157,1,1,0,0,0,0,0,0,0,0,0,0,0,3,17.53333333333333
Crew_10158,2,2,0,0,0,0,0,0,0,0,0,0,0,3,20.099999999999998
Crew_10159,3,1,0,0,0,0,0,0,0,0,0,0,0,2,10.566666666666666
Crew_10160,6,1,0,0,0,0,0,0,0,0,0,0,0,5,24.350000000000005
Crew_10161,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10163,5,2,0,0,0,0,0,0,0,0,1,0,0,3,14.350000000000001
Crew_10165,6,1,0,0,0,0,0,0,0,0,0,0,0,5,30.31666666666667
Crew_10166,2,3,0,0,0,0,0,0,0,0,0,0,0,3,8.866666666666667
Crew_10168,5,0,0,0,0,0,0,0,0,0,0,0,0,5,29.483333333333334
Crew_10169,7,0,0,0,0,0,0,0,0,0,0,0,0,5,27.866666666666664
Crew_10170,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.366666666666667
Crew_10171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.416666666666666
Crew_10173,6,1,0,0,0,0,0,0,0,0,0,0,0,5,25.2
Crew_10174,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.283333333333333
Crew_10175,7,0,0,0,0,0,0,0,0,0,0,0,0,5,25.316666666666666
